,train loss,train_acc,test_loss,test_acc
0,1.680709218,0.426086962,1.390623531,0.370967746
1,1.36574109,0.469565213,1.346619715,0.327956975
2,1.201356237,0.486956507,0.967780096,0.54838711
3,1.062595201,0.446428567,0.886361262,0.623655915
4,0.964460026,0.443478256,0.880101905,0.602150559
5,0.759533348,0.686956525,0.936026696,0.564516127
6,0.725910617,0.660869539,0.811068416,0.634408593
7,0.724811275,0.704347849,0.781564758,0.693548381
8,0.711016701,0.696428597,0.832261676,0.666666687
9,0.593305474,0.756521761,0.758100516,0.65053761
10,0.514546244,0.782608688,0.794281671,0.645161271
11,0.388902933,0.875,0.768572657,0.693548381
12,0.396706149,0.826086938,0.754091806,0.693548381
13,0.43819186,0.843478262,0.717940784,0.709677398
14,0.363935934,0.878260851,0.720320975,0.704301059
15,0.286367903,0.913043499,0.787254505,0.688172042
16,0.182045082,0.947826087,0.862013371,0.688172042
17,0.255183556,0.930434763,0.850298947,0.693548381
18,0.242260593,0.921739101,0.810905652,0.704301059
19,0.180815078,0.946428597,0.789630669,0.69892472
20,0.131415436,0.965217412,0.819143441,0.715053737
21,0.077832889,0.991071403,0.837142501,0.688172042
22,0.138777034,0.965217412,0.978045702,0.666666687
23,0.167262698,0.973913014,0.856005428,0.688172042
24,0.107516611,0.965217412,0.874785205,0.682795703
25,0.070929953,0.973913014,0.957361647,0.645161271
26,0.06636738,0.991304338,0.884792395,0.715053737
27,0.09306596,0.973214269,0.908424726,0.704301059
28,0.080732662,0.991304338,1.052720644,0.655913949
29,0.105000641,0.956521749,1.031084664,0.688172042
30,0.05332067,0.991304338,0.888228222,0.704301059
31,0.039797294,1,0.910805585,0.69892472
32,0.039849868,0.991304338,0.967933299,0.704301059
33,0.037901271,1,0.942239289,0.693548381
34,0.034507788,0.991071403,0.908769677,0.731182814
35,0.013431923,1,0.914521739,0.715053737
36,0.01332844,1,0.939172096,0.715053737
37,0.016991812,1,0.958105295,0.709677398
38,0.015315853,1,0.971400692,0.731182814
39,0.011586665,1,0.959277288,0.709677398
